legajo,telefono_empleado
1,+54 15 2173 6553
1,+54 9 3127 2742
2,+54 15 2911 4352
2,+54 9 3323 3638
3,+54 15 2872 6548
3,+54 15 2624 9321
4,+54 9 3228 8064
4,+54 9 3293 7718
5,+54 9 3738 8630
5,+54 15 2276 2539
6,+54 15 2451 3631
6,+54 15 2576 9891
7,+54 9 3821 9759
7,+54 15 2604 8808
8,+54 9 3140 5998
8,+54 9 3417 2319
9,+54 15 2601 6682
9,+54 9 3878 0821
10,+54 9 3614 4223
10,+54 15 2103 3914
11,+54 15 2636 7323
11,+54 9 3380 8673
12,+54 9 3268 7202
12,+54 15 2297 3833
13,+54 9 3604 6082
13,+54 9 3145 6064
14,+54 9 3587 6563
14,+54 15 2987 2462
15,+54 9 3188 0524
15,+54 9 3519 5924
16,+54 9 3369 0640
16,+54 9 3121 4970
17,+54 15 2563 7811
17,+54 9 3468 6134
18,+54 15 2679 9977
18,+54 15 2944 9379
19,+54 9 3624 1720
19,+54 15 2193 2430
20,+54 15 2870 0536
20,+54 15 2272 6435
21,+54 9 3242 2723
21,+54 15 2211 3277
22,+54 15 2172 2321
22,+54 9 3990 0523
23,+54 15 2712 8946
23,+54 15 2725 3382
24,+54 15 2291 5590
24,+54 15 2942 5251
25,+54 15 2470 6129
25,+54 15 2146 7610
26,+54 15 2505 4427
26,+54 15 2391 4420
27,+54 15 2812 8877
27,+54 15 2393 7302
28,+54 9 3220 5622
28,+54 9 3189 6224
29,+54 9 3488 7497
29,+54 9 3924 4523
30,+54 15 2669 2243
30,+54 15 2201 4867
31,+54 9 3990 2482
31,+54 9 3451 5538
32,+54 15 2828 0208
32,+54 15 2999 5404
33,+54 9 3781 5144
33,+54 9 3996 0120
34,+54 15 2713 0873
34,+54 15 2608 7651
35,+54 9 3983 5789
35,+54 15 2211 0374
36,+54 9 3845 2617
36,+54 15 2382 9389
37,+54 15 2399 9140
37,+54 15 2901 5575
38,+54 9 3314 1982
38,+54 15 2317 9223
39,+54 15 2890 9621
39,+54 9 3238 7727
40,+54 9 3615 5596
40,+54 9 3283 9732
41,+54 9 3517 0279
41,+54 9 3451 9405
42,+54 15 2978 2580
42,+54 15 2269 8555
43,+54 9 3480 7554
43,+54 9 3810 3372
44,+54 9 3470 4065
44,+54 9 3743 9658
45,+54 9 3672 5163
45,+54 15 2285 6985
46,+54 9 3870 6188
46,+54 9 3616 0140
47,+54 9 3224 0936
47,+54 15 2482 1810
48,+54 15 2290 2774
48,+54 9 3366 9007
49,+54 9 3825 4842
49,+54 9 3186 1722
50,+54 9 3488 3060
50,+54 15 2607 6366
51,+54 9 3925 8415
51,+54 9 3407 8391
52,+54 9 3954 1757
52,+54 15 2963 8681
53,+54 9 3513 2081
53,+54 15 2152 3508
54,+54 15 2171 4061
54,+54 9 3115 4797
55,+54 9 3343 6415
55,+54 15 2417 5705
56,+54 15 2941 6105
56,+54 9 3929 8524
57,+54 15 2858 8590
57,+54 15 2442 0406
58,+54 9 3146 7046
58,+54 15 2998 0995
59,+54 9 3159 7584
59,+54 15 2209 7240
60,+54 9 3989 2308
60,+54 9 3962 6551
61,+54 15 2859 3965
61,+54 15 2426 4763
62,+54 15 2432 5806
62,+54 9 3870 1756
63,+54 9 3205 7073
63,+54 15 2570 3700
64,+54 15 2135 4949
64,+54 9 3395 2558
65,+54 15 2114 3344
65,+54 15 2101 7290
66,+54 9 3481 0433
66,+54 15 2146 2543
67,+54 9 3200 4725
67,+54 15 2888 0126
68,+54 15 2643 9756
68,+54 9 3617 3019
69,+54 15 2136 3543
69,+54 15 2387 9353
70,+54 9 3802 0390
70,+54 9 3604 8562
71,+54 15 2896 7562
71,+54 9 3563 1933
72,+54 15 2183 7237
72,+54 9 3720 1527
73,+54 9 3145 2901
73,+54 15 2466 7076
74,+54 9 3336 2483
74,+54 15 2194 8505
75,+54 15 2982 3653
75,+54 9 3722 2409
76,+54 9 3325 0048
76,+54 15 2546 6715
77,+54 9 3960 5467
77,+54 9 3715 5825
78,+54 9 3194 4795
78,+54 9 3629 3456
79,+54 15 2967 4279
79,+54 9 3352 4899
80,+54 15 2541 4902
80,+54 9 3163 1292
81,+54 9 3192 2856
81,+54 9 3201 1258
82,+54 9 3552 3969
82,+54 9 3835 6485
83,+54 9 3157 3149
83,+54 15 2498 0969
84,+54 9 3416 2836
84,+54 9 3582 1671
85,+54 15 2253 0454
85,+54 9 3611 8407
86,+54 15 2639 1070
86,+54 15 2993 7761
87,+54 15 2794 3207
87,+54 15 2863 4156
88,+54 9 3657 0253
88,+54 15 2381 0653
89,+54 9 3304 2422
89,+54 15 2746 6949
90,+54 9 3867 5937
90,+54 15 2991 9269
91,+54 9 3460 0674
91,+54 9 3901 8326
92,+54 15 2342 3398
92,+54 15 2603 5320
93,+54 9 3383 9288
93,+54 9 3261 2760
94,+54 15 2407 9683
94,+54 15 2252 7969
95,+54 15 2313 2585
95,+54 15 2859 5413
96,+54 9 3331 9611
96,+54 9 3530 4061
97,+54 15 2278 7553
97,+54 15 2517 2698
98,+54 9 3385 8842
98,+54 15 2159 3551
99,+54 9 3964 0469
99,+54 9 3786 9550
100,+54 15 2548 2993
100,+54 9 3374 4017
