legajo,telefono_empleado
1,+54 15 2525 1776
1,+54 9 3967 4160
2,+54 9 3252 8084
2,+54 9 3109 1821
3,+54 15 2711 1135
3,+54 15 2242 0399
4,+54 9 3318 5558
4,+54 15 2237 5081
5,+54 15 2243 4067
5,+54 9 3489 9150
6,+54 9 3849 0837
6,+54 15 2971 9432
7,+54 15 2132 7687
7,+54 9 3444 6330
8,+54 15 2199 5196
8,+54 9 3332 4581
9,+54 9 3898 6421
9,+54 9 3791 2736
10,+54 15 2861 8206
10,+54 9 3715 5004
11,+54 15 2454 3584
11,+54 15 2900 9028
12,+54 9 3145 8831
12,+54 9 3169 4910
13,+54 15 2604 2200
13,+54 9 3663 7655
14,+54 15 2889 0254
14,+54 9 3201 7773
15,+54 9 3515 3536
15,+54 15 2185 0846
16,+54 9 3456 1776
16,+54 15 2915 6378
17,+54 15 2979 9389
17,+54 9 3679 0790
18,+54 15 2757 7582
18,+54 9 3420 7018
19,+54 9 3566 6046
19,+54 9 3213 4313
20,+54 9 3918 4677
20,+54 15 2117 9978
21,+54 9 3584 9528
21,+54 9 3792 9892
22,+54 15 2786 9950
22,+54 9 3729 9634
23,+54 15 2729 8637
23,+54 15 2892 6532
24,+54 15 2742 7572
24,+54 9 3963 7113
25,+54 9 3100 5978
25,+54 15 2378 9205
26,+54 9 3417 4965
26,+54 15 2951 3613
27,+54 9 3499 4350
27,+54 9 3886 0233
28,+54 15 2949 0163
28,+54 15 2577 3674
29,+54 9 3542 3869
29,+54 9 3106 2366
30,+54 15 2927 2057
30,+54 9 3978 5220
31,+54 15 2595 1345
31,+54 9 3203 2480
32,+54 15 2492 1865
32,+54 9 3697 1948
33,+54 9 3310 4800
33,+54 9 3540 4389
34,+54 15 2205 2588
34,+54 9 3695 0743
35,+54 9 3273 8695
35,+54 15 2503 8087
36,+54 9 3986 7515
36,+54 15 2280 1300
37,+54 15 2577 6962
37,+54 9 3190 4213
38,+54 15 2470 5111
38,+54 9 3267 0842
39,+54 9 3382 3427
39,+54 9 3587 4259
40,+54 15 2107 3060
40,+54 15 2751 2539
41,+54 15 2806 7535
41,+54 9 3486 0308
42,+54 9 3522 7642
42,+54 15 2502 1875
43,+54 15 2783 6347
43,+54 9 3849 4779
44,+54 9 3512 4536
44,+54 9 3676 3803
45,+54 9 3577 6702
45,+54 15 2315 9105
46,+54 9 3793 0311
46,+54 15 2514 1488
47,+54 15 2853 4428
47,+54 15 2912 9451
48,+54 15 2445 4186
48,+54 9 3157 8078
49,+54 15 2387 3703
49,+54 9 3720 3417
50,+54 15 2599 5877
50,+54 15 2102 9184
51,+54 9 3750 1031
51,+54 15 2891 7846
52,+54 15 2868 1269
52,+54 15 2251 7191
53,+54 15 2962 9516
53,+54 15 2238 7055
54,+54 15 2762 7409
54,+54 9 3882 5311
55,+54 15 2442 8245
55,+54 15 2513 6536
56,+54 15 2198 4457
56,+54 9 3365 7188
57,+54 9 3274 5270
57,+54 15 2996 6699
58,+54 15 2418 5024
58,+54 15 2662 7132
59,+54 15 2707 1055
59,+54 9 3842 1229
60,+54 9 3490 7093
60,+54 15 2413 9467
61,+54 15 2964 7612
61,+54 15 2224 2359
62,+54 15 2504 8463
62,+54 9 3988 8985
63,+54 9 3226 0288
63,+54 9 3689 6163
64,+54 15 2503 4524
64,+54 15 2177 7539
65,+54 9 3294 3921
65,+54 15 2446 0809
66,+54 9 3341 0171
66,+54 15 2356 6874
67,+54 15 2828 8959
67,+54 15 2842 5338
68,+54 9 3110 2422
68,+54 9 3432 2581
69,+54 9 3768 0043
69,+54 9 3114 8280
70,+54 15 2877 6577
70,+54 9 3883 3793
71,+54 15 2399 0008
71,+54 15 2924 9625
72,+54 9 3109 4126
72,+54 9 3941 1140
73,+54 15 2261 9969
73,+54 9 3866 9127
74,+54 15 2118 7185
74,+54 9 3465 6948
75,+54 15 2551 4181
75,+54 15 2997 3232
76,+54 9 3665 2379
76,+54 9 3621 4625
77,+54 15 2656 5673
77,+54 9 3620 1200
78,+54 15 2595 7589
78,+54 9 3322 0889
79,+54 15 2862 6423
79,+54 9 3443 8337
80,+54 15 2115 7062
80,+54 9 3386 0122
81,+54 15 2155 5223
81,+54 15 2997 6946
82,+54 15 2105 4413
82,+54 15 2500 2703
83,+54 15 2472 1530
83,+54 9 3243 6686
84,+54 15 2590 2170
84,+54 9 3468 4018
85,+54 15 2916 1665
85,+54 9 3907 4821
86,+54 9 3741 5998
86,+54 9 3218 0362
87,+54 9 3553 2200
87,+54 15 2290 4368
88,+54 9 3134 7322
88,+54 9 3506 4708
89,+54 15 2671 4999
89,+54 9 3768 7138
90,+54 15 2979 6096
90,+54 15 2957 8789
91,+54 15 2516 8464
91,+54 9 3664 4415
92,+54 9 3552 7829
92,+54 15 2502 1076
93,+54 9 3770 7905
93,+54 9 3358 5073
94,+54 9 3349 9284
94,+54 9 3370 9684
95,+54 9 3518 2813
95,+54 9 3682 7842
96,+54 9 3440 8034
96,+54 15 2903 3277
97,+54 9 3595 5671
97,+54 15 2252 6432
98,+54 9 3516 7877
98,+54 9 3501 7432
99,+54 15 2219 5297
99,+54 15 2959 1835
100,+54 15 2453 7259
100,+54 15 2649 6797
