id,nombre,apellido,direccion,sueldo,horas,fecha_ingreso
201,Mateo,Sánchez,"Diagonal 4 N° 2222 Posadas 3300, Misiones",174590,30,2024-09-14
202,Valentina,Gómez,"Diagonal Güemes N° 88 San Juan 5400, San Juan",140232,38,2017-05-02
203,Sofía,García,"Boulevard San Ferando del Valle de Catamarca N° 1333 Local 5 Rawson 9103, Chubut",110047,25,2020-03-27
204,Lucas,López,"Blv. 8 N° 58 Santa Rosa 6300, La Pampa",120591,38,2023-08-05
205,Sofía,García,"Diagonal 4 N° 6716 San Luis 5700, San Luis",159062,32,2023-01-31
206,Pedro,Gómez,"Boulevard Santa Cruz N° 27 Torre 2 Dto. 3 Formosa 3600, Formosa",82720,36,2021-02-02
207,María,García,"Calle Comodoro Rivadavia N° 44 Torre 9 Dto. 1 San Ferando del Valle de Catamarca 4700, Catamarca",179418,26,2017-11-26
208,Ana,Gómez,"Calle Mitre N° 868 Chilecito 5360, La Rioja",198276,22,2025-01-23
209,Mateo,García,"Diag. La Rioja N° 657 Rosario 2000, Santa Fe",157738,31,2021-09-07
210,Ana,Fernández,"Boulevard Río Gallegos N° 48 Oficina 2 San Miguel de Tucumán 4000, Tucumán",88366,23,2017-05-07
211,Camila,Sánchez,"Blv. Ushuaia N° 7984 Dto. 6 San Ferando del Valle de Catamarca 4700, Catamarca",199891,39,2023-01-28
212,Pedro,López,"Diagonal Chaco N° 242 San Luis 5700, San Luis",55163,38,2017-07-21
213,Valentina,Martínez,"Calle Chilecito N° 23 Bahía Blanca 8000, Buenos Aires",88065,21,2019-07-10
214,Mateo,López,"Diagonal 8 N° 1238 Dto. 6 La Rioja 5300, La Rioja",72006,32,2020-06-24
215,Valentina,Martínez,"Calle Chaco N° 7433 Ushuaia 9410, Tierra del Fuego",105602,24,2021-11-08
216,Juan,López,"Av. Mendoza N° 192 Torre 3 Dto. 2 Comodoro Rivadavia 9000, Chubut",65889,40,2022-07-27
217,Valentina,Martínez,"Avenida 107 A N° 504 Oficina 20 Santa Rosa 6300, La Pampa",53191,21,2017-07-03
218,Juan,Gómez,"Diagonal Chaco N° 853 Chilecito 5360, La Rioja",64454,40,2021-10-21
219,Lucas,Martínez,"Diagonal 3 N° 759 San Luis 5700, San Luis",191040,22,2019-09-18
220,Juan,Sánchez,"Blv. San Juan N° 1457 Río Gallegos 9400, Santa Cruz",186273,25,2022-04-09
221,Sofía,Sánchez,"Avenida San Luis N° 161 Local 9 Bahía Blanca 8000, Buenos Aires",88615,33,2017-08-14
222,Lucas,García,"Av. Güemes N° 89 San Ferando del Valle de Catamarca 4700, Catamarca",172408,38,2021-01-22
