legajo,telefono_empleado
201,+54 9 3665 7375
201,+54 15 2229 0228
202,+54 15 2376 5381
202,+54 9 3262 8859
203,+54 15 2488 3017
203,+54 9 3665 0903
204,+54 15 2661 3113
204,+54 15 2253 9145
205,+54 9 3204 5453
205,+54 9 3166 0215
206,+54 9 3539 6012
206,+54 9 3605 0965
207,+54 15 2834 5716
207,+54 9 3943 7444
208,+54 9 3506 6365
208,+54 15 2486 5981
209,+54 15 2313 0871
209,+54 15 2309 6499
210,+54 9 3820 6401
210,+54 15 2404 5736
211,+54 9 3270 2849
211,+54 9 3669 9535
212,+54 15 2882 6559
212,+54 9 3234 6774
213,+54 9 3255 7563
213,+54 9 3936 1000
214,+54 9 3695 2487
214,+54 9 3124 2714
215,+54 9 3276 3116
215,+54 9 3393 7969
216,+54 15 2182 5548
216,+54 15 2684 5290
217,+54 15 2677 9898
217,+54 9 3705 7005
218,+54 9 3901 3435
218,+54 15 2837 1945
219,+54 15 2414 0201
219,+54 9 3597 0908
220,+54 9 3733 6672
220,+54 15 2356 2538
221,+54 15 2641 2980
221,+54 15 2389 5951
222,+54 9 3941 7106
222,+54 9 3339 7778
223,+54 15 2607 4294
223,+54 9 3415 0592
224,+54 15 2129 2950
224,+54 9 3942 9083
225,+54 9 3960 7777
225,+54 9 3177 3734
226,+54 15 2477 3080
226,+54 9 3455 9642
227,+54 15 2881 2238
227,+54 15 2797 9024
228,+54 15 2236 4485
228,+54 15 2434 4443
229,+54 9 3939 7899
229,+54 9 3715 1810
230,+54 15 2598 1023
230,+54 9 3708 4516
231,+54 9 3736 1743
231,+54 9 3822 3210
232,+54 15 2568 9315
232,+54 15 2436 3784
233,+54 15 2171 9747
233,+54 9 3114 5604
234,+54 9 3800 7907
234,+54 15 2739 2418
235,+54 9 3725 3917
235,+54 9 3721 3210
236,+54 9 3132 0625
236,+54 15 2616 0619
237,+54 9 3418 3938
237,+54 15 2692 6694
238,+54 15 2388 3427
238,+54 15 2737 6636
239,+54 15 2910 6709
239,+54 9 3503 8176
240,+54 9 3442 3157
240,+54 9 3651 9005
241,+54 15 2820 3550
241,+54 15 2549 8177
242,+54 15 2990 7282
242,+54 9 3622 4664
243,+54 9 3218 5807
243,+54 9 3603 1709
244,+54 9 3407 7282
244,+54 9 3833 3683
245,+54 15 2313 9138
245,+54 9 3899 0599
246,+54 9 3635 7902
246,+54 15 2178 4002
247,+54 15 2716 1575
247,+54 9 3440 2937
248,+54 15 2128 3121
248,+54 9 3637 6423
249,+54 9 3694 5642
249,+54 15 2509 9907
250,+54 9 3957 8138
250,+54 9 3978 5356
251,+54 9 3431 8744
251,+54 15 2818 3391
252,+54 9 3657 6008
252,+54 15 2363 1757
253,+54 15 2166 4797
253,+54 15 2458 8986
254,+54 9 3400 2522
254,+54 15 2170 7266
255,+54 15 2431 8020
255,+54 15 2108 7582
256,+54 9 3343 5059
256,+54 15 2637 9678
257,+54 15 2277 5070
257,+54 15 2383 4161
258,+54 15 2882 5027
258,+54 15 2753 7195
259,+54 15 2671 8442
259,+54 9 3275 4164
260,+54 9 3745 0958
260,+54 15 2960 2540
261,+54 9 3309 3359
261,+54 15 2161 9501
262,+54 15 2326 9641
262,+54 15 2655 6240
263,+54 9 3976 9363
263,+54 9 3466 2423
264,+54 15 2463 4649
264,+54 9 3999 1654
265,+54 9 3488 9099
265,+54 15 2409 6867
266,+54 9 3607 1531
266,+54 9 3204 6573
267,+54 15 2790 0109
267,+54 15 2186 6289
268,+54 15 2649 3539
268,+54 9 3243 3471
269,+54 15 2880 3093
269,+54 9 3656 6363
270,+54 9 3492 0307
270,+54 9 3407 2096
271,+54 15 2513 7742
271,+54 9 3584 6241
272,+54 15 2950 2771
272,+54 9 3162 5635
273,+54 15 2402 8973
273,+54 9 3827 9773
274,+54 9 3907 3835
274,+54 15 2704 5430
275,+54 9 3680 0644
275,+54 15 2799 2218
276,+54 15 2673 6960
276,+54 15 2654 1790
277,+54 15 2379 9127
277,+54 15 2705 5550
278,+54 9 3470 3716
278,+54 15 2669 9289
279,+54 9 3594 5416
279,+54 9 3830 4165
280,+54 15 2393 6980
280,+54 9 3962 4467
281,+54 9 3998 7899
281,+54 9 3486 0255
282,+54 15 2942 8234
282,+54 9 3649 4318
283,+54 9 3142 0271
283,+54 9 3134 8994
284,+54 9 3238 4432
284,+54 15 2481 1485
285,+54 15 2841 7349
285,+54 9 3599 9701
286,+54 9 3761 3460
286,+54 9 3914 4489
287,+54 9 3509 8727
287,+54 9 3190 1290
288,+54 9 3241 4282
288,+54 15 2448 7676
289,+54 15 2960 9718
289,+54 9 3592 3497
290,+54 9 3557 1664
290,+54 9 3896 9951
291,+54 15 2306 1103
291,+54 15 2116 4603
292,+54 9 3380 5674
292,+54 15 2569 4893
293,+54 15 2307 6427
293,+54 9 3767 8561
294,+54 9 3251 0746
294,+54 9 3412 7046
295,+54 15 2330 0620
295,+54 9 3811 7503
296,+54 15 2689 2481
296,+54 15 2480 1028
297,+54 15 2515 1884
297,+54 9 3684 3764
298,+54 15 2576 1305
298,+54 15 2905 5006
299,+54 15 2556 0320
299,+54 15 2108 5411
300,+54 9 3526 4636
300,+54 15 2814 8746
