id,nombre,apellido
101,Mateo,Sánchez
102,Sofía,Fernández
103,Mateo,Gómez
104,Sofía,Gómez
105,María,Rodríguez
106,Camila,Rodríguez
107,Ana,Gómez
108,Sofía,Gómez
109,Lucas,Gómez
110,Lucas,Martínez
111,Pedro,Martínez
112,Mateo,Fernández
113,Ana,Sánchez
114,María,López
115,Luis,López
116,Lucas,Rodríguez
117,Valentina,López
118,Sofía,Rodríguez
119,María,Gómez
120,María,Sánchez
121,María,Gómez
122,Valentina,Fernández
123,Camila,López
124,Sofía,Rodríguez
125,Camila,Fernández
126,Pedro,Rodríguez
127,Camila,Rodríguez
128,María,Pérez
129,Ana,Sánchez
130,Mateo,Sánchez
131,Valentina,Rodríguez
132,María,García
133,Mateo,Pérez
134,María,Gómez
135,Sofía,Martínez
136,Ana,Gómez
137,Mateo,Pérez
138,Ana,Rodríguez
139,Sofía,López
140,María,Pérez
141,Valentina,Pérez
142,Mateo,López
143,Lucas,Pérez
144,Juan,Fernández
145,Valentina,López
146,Juan,Fernández
147,Lucas,Martínez
148,Lucas,Gómez
149,Ana,García
150,Mateo,García
